timestamp,steps,sims,policy_vs_random,policy_vs_material,mcts_vs_random,mcts_vs_material
2026-07-12T15:58:32+00:00,145,50,0.5,0.0,0.5,0.0
2026-07-13T05:53:58+00:00,509,64,0.458,0.042,0.667,0.167
2026-07-14T03:59:58+00:00,989,64,0.542,0.125,0.75,0.25
2026-07-14T05:14:58+00:00,1126,64,0.5,0.125,0.625,0.292
2026-07-15T05:15:44+00:00,1512,64,0.542,0.125,0.792,0.208
2026-07-16T05:19:29+00:00,1634,64,0.583,0.208,0.75,0.375
2026-07-17T05:27:01+00:00,1845,64,0.5,0.333,0.667,0.167
2026-07-18T05:07:54+00:00,2040,64,0.583,0.25,0.792,0.375
2026-07-19T05:34:18+00:00,2207,64,0.667,0.292,0.75,0.208
2026-07-20T01:50:20+00:00,2305,64,0.583,0.333,0.792,0.417
2026-07-20T05:52:57+00:00,2336,64,0.625,0.25,0.625,0.292
2026-07-21T05:33:03+00:00,2508,64,0.667,0.333,0.75,0.542
2026-07-22T05:33:19+00:00,2738,64,0.542,0.375,0.667,0.417
2026-07-23T05:37:38+00:00,2740,64,0.75,0.333,0.75,0.458
2026-07-24T05:32:20+00:00,2742,64,0.542,0.292,0.75,0.417
2026-07-25T05:26:46+00:00,2744,64,0.542,0.333,0.667,0.333
2026-07-26T05:44:11+00:00,2746,64,0.583,0.292,0.708,0.25
2026-07-28T05:27:45+00:00,2747,64,0.667,0.375,0.792,0.417
2026-07-29T05:34:11+00:00,2749,64,0.542,0.25,0.708,0.375
2026-07-30T05:21:23+00:00,2752,64,0.458,0.25,0.583,0.292
2026-07-31T05:47:46+00:00,2754,64,0.5,0.167,0.667,0.375
2026-08-01T05:39:00+00:00,2756,64,0.542,0.333,0.667,0.25
2026-08-02T05:39:44+00:00,2758,64,0.5,0.208,0.833,0.167
2026-08-03T05:55:08+00:00,2759,64,0.458,0.125,0.667,0.25
2026-08-04T05:27:54+00:00,2761,64,0.542,0.167,0.583,0.25
2026-08-05T05:27:33+00:00,2764,64,0.5,0.125,0.833,0.208
2026-08-06T05:29:54+00:00,2765,64,0.542,0.167,0.708,0.25
2026-08-06T08:24:33+00:00,2906,64,0.667,0.167,0.708,0.458
